policy_name,policy_label,seed,scenario,scenario_label,agent_id,policy_class_name,score,infrastructure,production_sites,advanced_sites,innovation
learned_q,Learned Q policy,500002,need_based_to_competitive,Need-based → competitive,3,CompetitiveTradePolicy,19,6,0,2,5
learned_q,Learned Q policy,500002,need_based_to_competitive,Need-based → competitive,4,CompetitiveTradePolicy,17,6,1,1,7
learned_q,Learned Q policy,500002,cooperative_to_hoarding,Cooperative → hoarding,0,HoardingTradePolicy,25,11,1,2,3
learned_q,Learned Q policy,500002,cooperative_to_hoarding,Cooperative → hoarding,1,HoardingTradePolicy,28,10,3,2,5
learned_q,Learned Q policy,500002,cooperative_to_hoarding,Cooperative → hoarding,2,HoardingTradePolicy,14,5,1,1,5
learned_q,Learned Q policy,500002,cooperative_to_hoarding,Cooperative → hoarding,3,HoardingTradePolicy,17,5,1,1,12
learned_q,Learned Q policy,500002,cooperative_to_hoarding,Cooperative → hoarding,4,HoardingTradePolicy,24,8,2,2,2
learned_q,Learned Q policy,500003,need_based,Need-based,0,NeedBasedTradePolicy,11,5,0,1,6
learned_q,Learned Q policy,500003,need_based,Need-based,1,NeedBasedTradePolicy,25,8,1,2,6
learned_q,Learned Q policy,500003,need_based,Need-based,2,NeedBasedTradePolicy,17,7,2,1,4
learned_q,Learned Q policy,500003,need_based,Need-based,3,NeedBasedTradePolicy,25,8,2,2,5
learned_q,Learned Q policy,500003,need_based,Need-based,4,NeedBasedTradePolicy,33,8,1,3,3
learned_q,Learned Q policy,500003,cooperative,Cooperative,0,CooperativeTradePolicy,47,17,3,4,4
learned_q,Learned Q policy,500003,cooperative,Cooperative,1,CooperativeTradePolicy,23,10,3,1,8
learned_q,Learned Q policy,500003,cooperative,Cooperative,2,CooperativeTradePolicy,11,5,0,1,5
learned_q,Learned Q policy,500003,cooperative,Cooperative,3,CooperativeTradePolicy,26,9,0,3,2
learned_q,Learned Q policy,500003,cooperative,Cooperative,4,CooperativeTradePolicy,19,6,0,2,3
learned_q,Learned Q policy,500003,hoarding,Hoarding,0,HoardingTradePolicy,14,6,1,1,3
learned_q,Learned Q policy,500003,hoarding,Hoarding,1,HoardingTradePolicy,39,14,3,3,4
learned_q,Learned Q policy,500003,hoarding,Hoarding,2,HoardingTradePolicy,9,4,2,0,4
learned_q,Learned Q policy,500003,hoarding,Hoarding,3,HoardingTradePolicy,17,4,1,1,9
learned_q,Learned Q policy,500003,hoarding,Hoarding,4,HoardingTradePolicy,14,10,1,1,3
learned_q,Learned Q policy,500003,mixed,Mixed,0,CompetitiveTradePolicy,34,14,3,2,8
learned_q,Learned Q policy,500003,mixed,Mixed,1,CooperativeTradePolicy,12,6,3,0,5
learned_q,Learned Q policy,500003,mixed,Mixed,2,FairnessSensitiveTradePolicy,6,7,1,0,7
learned_q,Learned Q policy,500003,mixed,Mixed,3,SelfishTradePolicy,30,12,1,3,5
learned_q,Learned Q policy,500003,mixed,Mixed,4,HoardingTradePolicy,18,7,0,2,2
learned_q,Learned Q policy,500003,need_based_to_competitive,Need-based → competitive,0,CompetitiveTradePolicy,14,6,1,1,5
learned_q,Learned Q policy,500003,need_based_to_competitive,Need-based → competitive,1,CompetitiveTradePolicy,23,12,3,1,4
learned_q,Learned Q policy,500003,need_based_to_competitive,Need-based → competitive,2,CompetitiveTradePolicy,6,2,1,0,7
learned_q,Learned Q policy,500003,need_based_to_competitive,Need-based → competitive,3,CompetitiveTradePolicy,17,5,1,1,10
learned_q,Learned Q policy,500003,need_based_to_competitive,Need-based → competitive,4,CompetitiveTradePolicy,9,8,2,0,3
learned_q,Learned Q policy,500003,cooperative_to_hoarding,Cooperative → hoarding,0,HoardingTradePolicy,33,12,2,3,4
learned_q,Learned Q policy,500003,cooperative_to_hoarding,Cooperative → hoarding,1,HoardingTradePolicy,34,13,4,2,6
learned_q,Learned Q policy,500003,cooperative_to_hoarding,Cooperative → hoarding,2,HoardingTradePolicy,9,3,1,0,6
learned_q,Learned Q policy,500003,cooperative_to_hoarding,Cooperative → hoarding,3,HoardingTradePolicy,6,4,1,0,5
learned_q,Learned Q policy,500003,cooperative_to_hoarding,Cooperative → hoarding,4,HoardingTradePolicy,6,4,1,0,4
learned_q,Learned Q policy,500004,need_based,Need-based,0,NeedBasedTradePolicy,20,13,2,1,3
learned_q,Learned Q policy,500004,need_based,Need-based,1,NeedBasedTradePolicy,14,7,1,1,4
learned_q,Learned Q policy,500004,need_based,Need-based,2,NeedBasedTradePolicy,25,11,2,2,3
learned_q,Learned Q policy,500004,need_based,Need-based,3,NeedBasedTradePolicy,23,13,3,1,8
learned_q,Learned Q policy,500004,need_based,Need-based,4,NeedBasedTradePolicy,19,6,0,2,6
learned_q,Learned Q policy,500004,cooperative,Cooperative,0,CooperativeTradePolicy,28,12,1,3,1
learned_q,Learned Q policy,500004,cooperative,Cooperative,1,CooperativeTradePolicy,21,8,1,2,2
learned_q,Learned Q policy,500004,cooperative,Cooperative,2,CooperativeTradePolicy,14,6,1,1,6
learned_q,Learned Q policy,500004,cooperative,Cooperative,3,CooperativeTradePolicy,17,5,1,1,10
learned_q,Learned Q policy,500004,cooperative,Cooperative,4,CooperativeTradePolicy,39,13,3,3,4
learned_q,Learned Q policy,500004,hoarding,Hoarding,0,HoardingTradePolicy,25,8,2,2,6
learned_q,Learned Q policy,500004,hoarding,Hoarding,1,HoardingTradePolicy,22,9,3,1,2
learned_q,Learned Q policy,500004,hoarding,Hoarding,2,HoardingTradePolicy,22,7,1,2,3
learned_q,Learned Q policy,500004,hoarding,Hoarding,3,HoardingTradePolicy,33,9,1,3,7
learned_q,Learned Q policy,500004,hoarding,Hoarding,4,HoardingTradePolicy,14,6,1,1,4
learned_q,Learned Q policy,500004,mixed,Mixed,0,HoardingTradePolicy,11,7,0,1,3
learned_q,Learned Q policy,500004,mixed,Mixed,1,CompetitiveTradePolicy,20,14,2,1,6
learned_q,Learned Q policy,500004,mixed,Mixed,2,CooperativeTradePolicy,22,6,1,2,5
learned_q,Learned Q policy,500004,mixed,Mixed,3,SelfishTradePolicy,22,9,1,2,5
learned_q,Learned Q policy,500004,mixed,Mixed,4,FairnessSensitiveTradePolicy,25,7,1,2,7
learned_q,Learned Q policy,500004,need_based_to_competitive,Need-based → competitive,0,CompetitiveTradePolicy,20,12,2,1,5
learned_q,Learned Q policy,500004,need_based_to_competitive,Need-based → competitive,1,CompetitiveTradePolicy,25,9,2,2,3
learned_q,Learned Q policy,500004,need_based_to_competitive,Need-based → competitive,2,CompetitiveTradePolicy,27,10,0,3,4
learned_q,Learned Q policy,500004,need_based_to_competitive,Need-based → competitive,3,CompetitiveTradePolicy,28,8,2,2,7
learned_q,Learned Q policy,500004,need_based_to_competitive,Need-based → competitive,4,CompetitiveTradePolicy,22,7,1,2,5
learned_q,Learned Q policy,500004,cooperative_to_hoarding,Cooperative → hoarding,0,HoardingTradePolicy,20,12,0,2,1
learned_q,Learned Q policy,500004,cooperative_to_hoarding,Cooperative → hoarding,1,HoardingTradePolicy,6,7,1,0,6
