seed,sweep,sweep_label,restrictive_label,restrictive_count,restrictive_share,condition,condition_label,final_total_score,final_min_score,final_score_gap,final_idle_infrastructure,cumulative_trades_executed
0,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,114,9,41,12,52
1,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,103,14,15,8,74
2,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,125,3,32,14,93
3,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,145,11,38,13,92
4,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,123,14,27,14,83
5,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,123,17,22,7,76
6,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,124,19,20,11,37
7,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,131,14,27,12,76
8,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,113,6,33,12,83
9,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,103,6,25,12,41
10,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,136,6,38,8,81
11,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,118,3,33,14,77
12,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,130,6,33,14,59
13,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,128,6,35,13,72
14,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,172,22,30,5,84
15,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,108,6,35,14,59
16,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,148,25,11,7,64
17,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,130,6,46,13,93
18,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,141,15,26,10,51
19,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,118,11,23,9,84
20,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,139,14,23,4,84
21,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,108,6,27,20,82
22,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,141,2,46,14,78
23,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,141,14,25,9,78
24,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,94,12,14,13,76
25,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,127,11,32,7,92
26,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,115,14,24,14,67
27,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,81,6,27,22,49
28,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,109,6,36,7,84
29,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,100,6,33,9,93
30,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,155,11,33,14,78
31,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,120,14,22,15,61
32,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,116,9,34,21,89
33,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,73,3,33,23,40
34,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,123,10,31,12,70
35,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,135,17,16,7,63
36,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,137,9,40,20,63
37,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,122,9,29,18,54
38,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,129,14,24,8,63
39,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,124,6,30,7,77
40,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,149,14,29,11,84
41,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,157,11,39,2,70
42,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,108,14,13,6,98
43,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,133,6,41,16,73
44,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,103,2,34,17,59
45,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,145,2,44,14,90
46,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,140,11,38,1,79
47,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,131,11,41,7,61
48,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,130,14,28,9,55
49,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,125,14,33,8,81
50,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,148,18,30,15,80
51,cooperative_to_hoarding,Cooperative → hoarding,Hoarding agents,0,0.0,bilateral_3pass,Bilateral 3-pass,146,23,16,4,62
