population,condition,seed,min_agent_score,mean_agent_score,score_sd,bottom_two_mean_score,score_gini
competitive,bilateral_trade_3pass,66,11,18.0,7.563068160475615,11.5,0.22222222222222232
competitive,bilateral_trade_3pass,67,9,22.6,14.732277488562318,10.5,0.33628318584070804
competitive,bilateral_trade_3pass,68,6,19.4,9.789790600416334,9.0,0.2845360824742269
competitive,bilateral_trade_3pass,69,12,25.8,11.805083650698965,13.0,0.2542635658914729
competitive,bilateral_trade_3pass,70,6,14.0,6.841052550594828,7.5,0.2628571428571429
competitive,bilateral_trade_3pass,71,9,23.8,14.715977711317723,11.5,0.32268907563025206
competitive,bilateral_trade_3pass,72,3,19.2,19.249935064825543,7.0,0.46250000000000013
competitive,bilateral_trade_3pass,73,7,21.8,10.303397497913005,10.5,0.26055045871559646
competitive,bilateral_trade_3pass,74,14,27.8,12.023310692151309,16.5,0.23309352517985626
competitive,bilateral_trade_3pass,75,6,17.2,12.12270596855339,6.0,0.3767441860465117
competitive,bilateral_trade_3pass,76,3,12.6,7.863841300534999,4.5,0.3492063492063493
competitive,bilateral_trade_3pass,77,6,16.0,8.87693640846886,7.5,0.30499999999999994
competitive,bilateral_trade_3pass,78,3,13.8,8.840814442120138,4.5,0.3536231884057972
competitive,bilateral_trade_3pass,79,9,20.0,9.20869154657707,11.5,0.244
competitive,bilateral_trade_3pass,80,14,20.4,7.3375745311376575,14.5,0.1843137254901961
competitive,bilateral_trade_3pass,81,14,22.8,7.413501197140255,15.5,0.17894736842105274
competitive,bilateral_trade_3pass,82,17,26.4,8.890444308357146,17.0,0.18484848484848482
competitive,bilateral_trade_3pass,83,4,12.4,6.280127387243033,5.0,0.27741935483870983
competitive,bilateral_trade_3pass,84,6,20.0,12.601587201618692,8.5,0.3440000000000001
competitive,bilateral_trade_3pass,85,9,18.6,10.63202708800161,9.0,0.2967741935483872
competitive,bilateral_trade_3pass,86,2,13.2,10.979981785048645,3.5,0.4363636363636365
competitive,bilateral_trade_3pass,87,3,19.6,12.191800523302536,7.0,0.34285714285714297
competitive,bilateral_trade_3pass,88,3,9.6,7.059745037889116,3.0,0.3916666666666666
competitive,bilateral_trade_3pass,89,14,22.6,5.314132102234569,16.5,0.12743362831858418
competitive,bilateral_trade_3pass,90,14,22.6,7.9899937421752725,14.0,0.19469026548672574
competitive,bilateral_trade_3pass,91,6,18.8,9.620810776644555,7.5,0.2808510638297872
competitive,bilateral_trade_3pass,92,12,20.0,10.178408519999577,13.0,0.236
competitive,bilateral_trade_3pass,93,9,19.2,7.678541528180987,10.5,0.22083333333333344
competitive,bilateral_trade_3pass,94,12,22.2,5.878775382679627,17.0,0.14054054054054066
competitive,bilateral_trade_3pass,95,6,18.4,7.914543574963751,10.5,0.23913043478260865
competitive,bilateral_trade_3pass,96,6,18.6,12.467557900406959,6.0,0.3655913978494625
competitive,bilateral_trade_3pass,97,9,17.6,7.8383671769061705,9.0,0.24090909090909096
competitive,bilateral_trade_3pass,98,6,20.8,12.82809416865966,9.0,0.33461538461538476
competitive,bilateral_trade_3pass,99,6,27.0,11.696153213770756,16.5,0.22222222222222232
competitive,bilateral_trade_3pass,100,12,19.6,8.114185110040317,13.0,0.21632653061224505
competitive,bilateral_trade_3pass,101,6,18.0,8.87693640846886,10.0,0.2711111111111111
competitive,bilateral_trade_3pass,102,2,16.6,14.71869559437928,4.0,0.45783132530120496
competitive,bilateral_trade_3pass,103,6,20.4,12.690153663372245,6.0,0.3411764705882354
competitive,bilateral_trade_3pass,104,9,19.8,8.795453370918409,11.5,0.2464646464646465
competitive,bilateral_trade_3pass,105,11,23.8,11.582745788456208,12.5,0.2588235294117647
competitive,bilateral_trade_3pass,106,6,20.8,12.607934009979589,7.5,0.33461538461538476
competitive,bilateral_trade_3pass,107,3,9.4,5.642694391866354,4.5,0.32340425531914896
competitive,bilateral_trade_3pass,108,22,30.6,8.309031231136395,23.5,0.14379084967320277
competitive,bilateral_trade_3pass,109,3,20.4,11.637869220780924,8.5,0.3176470588235294
competitive,bilateral_trade_3pass,110,6,11.4,7.059745037889116,6.0,0.30175438596491233
competitive,bilateral_trade_3pass,111,6,16.6,11.200000000000001,6.0,0.3614457831325302
competitive,bilateral_trade_3pass,112,6,20.0,12.915107432770352,7.5,0.3440000000000001
competitive,bilateral_trade_3pass,113,10,20.6,10.403845442911962,10.5,0.2757281553398059
competitive,bilateral_trade_3pass,114,6,10.6,3.8781438859330635,6.0,0.19622641509433958
competitive,bilateral_trade_3pass,115,6,17.4,13.032267646115928,7.5,0.3770114942528735
competitive,bilateral_trade_3pass,116,9,24.0,15.974980438172686,10.0,0.3533333333333333
competitive,bilateral_trade_3pass,117,6,17.0,7.155417527999327,10.0,0.23058823529411776
competitive,bilateral_trade_3pass,118,17,29.2,10.342146779078318,18.5,0.19726027397260282
competitive,bilateral_trade_3pass,119,9,17.2,6.241794613730894,10.5,0.20465116279069773
competitive,bilateral_trade_3pass,120,14,22.4,7.914543574963752,15.5,0.18214285714285716
competitive,bilateral_trade_3pass,121,17,26.4,8.404760555780278,19.5,0.16969696969696968
competitive,bilateral_trade_3pass,122,9,15.0,5.366563145999495,9.0,0.19199999999999995
