population,population_label,condition,condition_label,mean_final_total_score,sd_final_total_score,ci95_low_final_total_score,ci95_high_final_total_score,mean_final_score_gap,sd_final_score_gap,ci95_low_final_score_gap,ci95_high_final_score_gap,mean_cumulative_trades_executed,sd_cumulative_trades_executed,ci95_low_cumulative_trades_executed,ci95_high_cumulative_trades_executed,mean_final_idle_infrastructure,sd_final_idle_infrastructure,ci95_low_final_idle_infrastructure,ci95_high_final_idle_infrastructure,mean_final_total_infrastructure,sd_final_total_infrastructure,ci95_low_final_total_infrastructure,ci95_high_final_total_infrastructure,mean_final_total_production_sites,sd_final_total_production_sites,ci95_low_final_total_production_sites,ci95_high_final_total_production_sites,mean_final_total_advanced_sites,sd_final_total_advanced_sites,ci95_low_final_total_advanced_sites,ci95_high_final_total_advanced_sites,mean_final_total_innovation,sd_final_total_innovation,ci95_low_final_total_innovation,ci95_high_final_total_innovation,institution_family,institution_family_label
cooperative,Cooperative,bilateral_trade_3pass,Bilateral 3-pass,125.835,20.780445364518506,122.93740826992094,128.73259173007906,29.64,9.405461900823331,28.328517587407788,30.951482412592213,69.205,14.174539245212538,67.22852514712042,71.18147485287957,10.845,4.983487810135475,10.150110510756711,11.53988948924329,45.115,5.383930584871389,44.364273417177095,45.86572658282291,6.26,2.858892500892312,5.861360648318206,6.658639351681794,10.875,2.9636618324779285,10.461751781980492,11.288248218019508,22.4,4.906154477673321,21.71589374570048,23.084106254299517,decentralized_bargaining,Decentralized bargaining
cooperative,Cooperative,bottleneck_priority_bilateral_trade,Bottleneck,117.59,18.325145422993764,115.03477132714268,120.14522867285733,29.705,10.160915115278716,28.288178411645696,31.1218215883543,42.05,5.682336202973042,41.2576642198739,42.84233578012609,12.04,5.025402806425985,11.33926595138913,12.740734048610868,44.06,5.1594086373766865,43.340580394812555,44.77941960518745,6.145,2.562578592985224,5.787678180931101,6.502321819068898,9.865,2.446775131211197,9.523825628556256,10.206174371443744,23.715,4.457930091815886,23.093393429941987,24.336606570058013,decentralized_bargaining,Decentralized bargaining
cooperative,Cooperative,catch_up_bilateral_trade,Catch-up,114.045,19.986753779270064,111.25807934233097,116.83192065766903,30.33,8.91619834709974,29.086739706916312,31.573260293083685,42.24,5.1910630586029285,41.51616655345561,42.96383344654439,12.455,5.310270223750034,11.714544498930922,13.195455501069079,43.405,5.7424606460433685,42.60428056466535,44.20571943533465,5.945,2.7713492895017966,5.558567532285324,6.331432467714676,9.53,2.585055620835666,9.169544020480073,9.890455979519926,23.48,4.344418240598645,22.874221339093282,24.08577866090672,decentralized_bargaining,Decentralized bargaining
cooperative,Cooperative,central_clearing,Central clearing,145.06,23.20969300198155,141.82367790388915,148.29632209611086,17.24,5.799185525900951,16.431370939059075,18.04862906094092,51.99,8.422266492122034,50.815612766809906,53.1643872331901,8.59,4.123946492544105,8.014963563462047,9.165036436537953,47.18,5.435561298814119,46.422074113836175,47.937925886163825,5.845,2.482294084027515,5.498872923157681,6.191127076842318,13.45,3.272774858798251,12.993649560973488,13.906350439026511,20.245,3.800948704636302,19.715001853193485,20.774998146806517,central_matching,Central matching
cooperative,Cooperative,central_clearing_capped,Central capped (2),117.91,19.53149498841325,115.18655989264126,120.63344010735874,21.92,6.9898418756962,20.945347741191355,22.894652258808648,35.385,2.90326016712074,34.980174092616856,35.78982590738314,9.81,4.103424234984884,9.237825153901667,10.382174846098334,42.47,5.4734718846781165,41.7067879229892,43.2332120770108,6.58,2.06760123678911,6.291697023825544,6.868302976174456,9.75,2.60797000321868,9.386348876019587,10.113651123980413,24.015,4.171544548437422,23.433326567444638,24.596673432555363,central_matching,Central matching
cooperative,Cooperative,clearinghouse_bargaining,Clearinghouse,116.115,19.64820692012071,113.37528576943625,118.85471423056374,27.605,8.72465316584686,26.388448457542157,28.821551542457843,42.41,5.050687798328155,41.70574025296709,43.114259747032904,11.715,5.218230027807855,10.987378435158885,12.442621564841115,43.265,5.3664484386064055,42.51671109940926,44.013288900590744,6.035,2.86440203096124,5.635592408346237,6.4344075916537635,9.74,2.6509503368494496,9.370355767734372,10.109644232265628,23.13,4.326278240830728,22.526750751355102,23.733249248644896,coordinated_bargaining,Coordinated bargaining
cooperative,Cooperative,equity_weighted_central,Equity central,140.4,26.260006467982688,136.73834712207997,144.06165287792004,14.72,5.949671668657368,13.890387394428844,15.549612605571157,52.505,9.084747557910168,51.23823747725816,53.771762522741845,9.015,4.316006785544285,8.413182986486344,9.616817013513657,46.995,5.753301433693066,46.192768942749154,47.79723105725084,6.325,2.5320805991919024,5.971930771915047,6.678069228084953,12.665,3.7015242005199944,12.148865445423635,13.181134554576364,21.66,4.221790803431606,21.071320310822863,22.248679689177138,central_matching,Central matching
cooperative,Cooperative,no_trade,No trade,29.36,9.227466101442277,28.07333703411493,30.646662965885067,10.785,6.424573974495811,9.889167784124314,11.680832215875686,0.0,0.0,0.0,0.0,15.635,4.886837515666201,14.953587271675513,16.316412728324487,21.895,5.811440371885432,21.08466214313314,22.70533785686686,2.705,2.0442283010304068,2.419956108227928,2.990043891772072,0.425,0.7464320491646255,0.3209187209520377,0.5290812790479623,15.595,3.459888603080835,15.11255872275964,16.07744127724036,baseline,Baseline
cooperative,Cooperative,public_pool,Public pool,140.595,16.236969263205232,138.33094323734065,142.85905676265935,14.065,5.737190232055579,13.265015462677269,14.86498453732273,50.295,3.2233405999235596,49.84554259416817,50.74445740583183,6.14,2.6027430447095474,5.777077714669763,6.502922285330237,40.16,4.09858414087097,39.588500048805564,40.73149995119443,3.025,1.6333136771114107,2.7972533795399865,3.2527466204600133,13.985,2.2405076147737786,13.672587237815772,14.297412762184226,18.215,3.362335722014936,17.746161338895316,18.683838661104684,contribution_pool,Contribution-dependent pool
cooperative,Cooperative,subsidized_catch_up,Subsidized,73.285,16.406389703879942,70.99731952479772,75.57268047520228,15.405,6.162047479996293,14.545774054396428,16.26422594560357,18.23,3.7088919365472117,17.71283810021484,18.747161899785162,12.195,4.83257112918092,11.521154088937742,12.868845911062259,34.495,5.412620186788666,33.74027298543482,35.249727014565174,6.975,2.616986452095666,6.610091636954574,7.339908363045425,4.175,1.9605083434722024,3.901629883857271,4.448370116142728,18.855,3.6812679430247552,18.341689945244067,19.368310054755934,redistributive_support,Redistributive support
fairness_sensitive,Fairness-sensitive,bilateral_trade,Bilateral,120.62,22.400771702428507,117.49647258305767,123.74352741694234,24.94,8.258170919439324,23.788493988362546,26.091506011637456,35.625,4.875781086762423,34.9451289622598,36.3048710377402,11.04,5.314094277480384,10.299011279056655,11.780988720943343,44.5,5.701978850721068,43.70492528080531,45.29507471919469,6.665,2.740497515628473,6.282869453792081,7.047130546207919,10.065,2.9925829585525423,9.647719066883758,10.482280933116241,23.4,4.425826442427727,22.78286991094808,24.017130089051918,decentralized_bargaining,Decentralized bargaining
fairness_sensitive,Fairness-sensitive,bilateral_trade_3pass,Bilateral 3-pass,127.415,22.66985635011112,124.25395185450063,130.57604814549939,24.7,8.977918192731373,23.448133591352047,25.951866408647952,48.86,8.18875316467408,47.718173487940156,50.00182651205984,10.85,5.78922061912348,10.042760429561465,11.657239570438534,45.47,6.024164071787812,44.63000029408146,46.309999705918536,6.225,2.926979852215655,5.816866658047219,6.633133341952781,11.085,3.2092477867537608,10.637507673269125,11.532492326730877,22.275,4.553354829244589,21.64008755871699,22.90991244128301,decentralized_bargaining,Decentralized bargaining
fairness_sensitive,Fairness-sensitive,bottleneck_priority_bilateral_trade,Bottleneck,116.765,22.52569219902523,113.62405387082572,119.90594612917428,24.73,9.02854768868361,23.471073896230223,25.988926103769778,35.125,4.757366675845179,34.461640476415404,35.788359523584596,11.1,4.875330165343219,10.420191838014016,11.779808161985983,43.63,5.569397719212901,42.85341217959328,44.40658782040673,6.695,2.5817245220080505,6.335008503519089,7.054991496480912,9.57,3.0050376464000266,9.150982405331296,9.989017594668704,23.53,4.293163901064929,22.93136816139465,24.12863183860535,decentralized_bargaining,Decentralized bargaining
fairness_sensitive,Fairness-sensitive,catch_up_bilateral_trade,Catch-up,117.4,21.08537324365212,114.4598896190764,120.3401103809236,25.255,8.598818137792783,24.055994690563047,26.45400530943695,35.23,5.350724367436747,34.483903638490354,35.97609636150964,11.105,5.099411238062132,10.393946335245042,11.816053664754959,43.655,5.315755948736986,42.913779578301124,44.39622042169888,6.57,2.8222198041817337,6.176474229901482,6.963525770098519,9.705,2.9464184885293765,9.294156166003443,10.115843833996557,23.385,4.1160032084608815,22.811071162161955,23.958928837838048,decentralized_bargaining,Decentralized bargaining
fairness_sensitive,Fairness-sensitive,central_clearing,Central clearing,146.4,24.748178959451657,142.94915390745837,149.85084609254164,17.1,6.25022612656261,16.228478566374967,17.971521433625036,52.2,8.238895374073193,51.05118173926807,53.34881826073194,8.415,3.8125388209573083,7.883385746097928,8.946614253902071,47.475,5.89006274974893,46.653699165781106,48.2963008342189,5.88,2.3329839412974462,5.55469248824411,6.20530751175589,13.65,3.468088550045222,13.166415335402233,14.133584664597768,19.795,4.097183123529959,19.223695404400207,20.366304595599797,central_matching,Central matching
fairness_sensitive,Fairness-sensitive,central_clearing_capped,Central capped (2),118.19,19.477958164842562,115.4740249808293,120.9059750191707,21.515,7.415844439018298,20.480946631984033,22.54905336801597,35.325,2.646582132661787,34.95596486306931,35.694035136930694,9.355,4.156362804038403,8.775443485356988,9.934556514643013,42.295,5.091916443278171,41.58499139732161,43.005008602678394,6.74,2.108227481933079,6.446032165835815,7.033967834164185,9.73,2.6461501379860923,9.361025099708987,10.098974900291013,23.96,4.012342766060973,23.40052540678306,24.51947459321694,central_matching,Central matching
fairness_sensitive,Fairness-sensitive,clearinghouse_bargaining,Clearinghouse,119.905,20.03679968728896,117.11110102176777,122.69889897823224,24.92,8.600782949050823,23.72072072045545,26.119279279544553,36.22,4.484658382086654,35.594666480327135,36.84533351967286,10.88,5.190404753729488,10.156258346423652,11.60374165357635,44.2,5.706383624534171,43.40431108626089,44.995688913739116,6.665,2.753303178358642,6.28108385286899,7.04891614713101,9.995,2.757351981475844,9.610519294303312,10.379480705696686,23.275,4.135806994709427,22.698309754201176,23.85169024579882,coordinated_bargaining,Coordinated bargaining
