build_mode_development,build_mode_label_development,population,population_label,condition,condition_label,final_total_score_development,final_score_gap_development,cumulative_trades_executed_development,final_idle_infrastructure_development,final_total_infrastructure_development,final_total_production_sites_development,final_total_advanced_sites_development,final_total_innovation_development,build_mode_crown,build_mode_label_crown,final_total_score_crown,final_score_gap_crown,cumulative_trades_executed_crown,final_idle_infrastructure_crown,final_total_infrastructure_crown,final_total_production_sites_crown,final_total_advanced_sites_crown,final_total_innovation_crown,build_mode_comparison,build_mode_from,build_mode_to,delta_final_total_score,delta_final_score_gap,delta_cumulative_trades_executed,delta_final_idle_infrastructure,delta_final_total_infrastructure,delta_final_total_production_sites,delta_final_total_advanced_sites,delta_final_total_innovation,pct_change_final_total_score,pct_change_final_score_gap,pct_change_cumulative_trades_executed
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,bilateral_trade,Bilateral,120.62,24.94,35.625,11.04,44.5,6.665,10.065,23.4,crown_aware,Crown-aware,119.385,24.805,35.425,11.035,44.165,6.655,9.91,23.61,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.2349999999999994,-0.13500000000000156,-0.20000000000000284,-0.004999999999999005,-0.33500000000000085,-0.009999999999999787,-0.15499999999999936,0.21000000000000085,-1.0238766373735695,-0.5412991178829253,-0.5614035087719378
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,bilateral_trade_3pass,Bilateral 3-pass,127.415,24.7,48.86,10.85,45.47,6.225,11.085,22.275,crown_aware,Crown-aware,127.45,24.91,48.49,10.815,45.565,6.295,11.08,22.255,crown_aware_minus_development_oriented,development_oriented,crown_aware,0.03499999999999659,0.21000000000000085,-0.36999999999999744,-0.03500000000000014,0.09499999999999886,0.07000000000000028,-0.005000000000000782,-0.019999999999999574,0.027469293254323734,0.850202429149801,-0.7572656569791189
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,bottleneck_priority_bilateral_trade,Bottleneck,116.765,24.73,35.125,11.1,43.63,6.695,9.57,23.53,crown_aware,Crown-aware,116.845,24.41,35.22,10.8,43.37,6.72,9.565,23.74,crown_aware_minus_development_oriented,development_oriented,crown_aware,0.0799999999999983,-0.3200000000000003,0.09499999999999886,-0.29999999999999893,-0.2600000000000051,0.024999999999999467,-0.005000000000000782,0.2099999999999973,0.06851368132573828,-1.2939749292357472,0.27046263345195404
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,catch_up_bilateral_trade,Catch-up,117.4,25.255,35.23,11.105,43.655,6.57,9.705,23.385,crown_aware,Crown-aware,115.545,24.915,35.02,11.07,43.34,6.73,9.405,23.895,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.855000000000004,-0.33999999999999986,-0.20999999999999375,-0.03500000000000014,-0.3149999999999977,0.16000000000000014,-0.3000000000000007,0.509999999999998,-1.5800681431005144,-1.346268065729558,-0.5960828839057445
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,central_clearing,Central clearing,146.4,17.1,52.2,8.415,47.475,5.88,13.65,19.795,crown_aware,Crown-aware,145.625,17.135,51.995,8.105,46.985,5.89,13.55,20.035,crown_aware_minus_development_oriented,development_oriented,crown_aware,-0.7750000000000057,0.03500000000000014,-0.2050000000000054,-0.3099999999999987,-0.490000000000002,0.009999999999999787,-0.09999999999999964,0.23999999999999844,-0.5293715846994574,0.20467836257310024,-0.39272030651342027
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,central_clearing_capped,Central capped (2),118.19,21.515,35.325,9.355,42.295,6.74,9.73,23.96,crown_aware,Crown-aware,118.07,21.84,35.34,9.65,42.3,6.525,9.8,23.88,crown_aware_minus_development_oriented,development_oriented,crown_aware,-0.12000000000000455,0.3249999999999993,0.015000000000000568,0.29499999999999993,0.0049999999999954525,-0.21499999999999986,0.07000000000000028,-0.08000000000000185,-0.10153143243929652,1.510574018126885,0.04246284501061732
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,clearinghouse_bargaining,Clearinghouse,119.905,24.92,36.22,10.88,44.2,6.665,9.995,23.275,crown_aware,Crown-aware,118.885,23.87,36.18,11.275,43.935,6.35,9.98,23.07,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.019999999999996,-1.0500000000000007,-0.03999999999999915,0.3949999999999996,-0.26500000000000057,-0.3150000000000004,-0.014999999999998792,-0.2049999999999983,-0.850673449814433,-4.213483146067419,-0.11043622308116827
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,equity_weighted_central,Equity central,144.605,15.075,52.44,8.395,46.915,5.85,13.41,20.61,crown_aware,Crown-aware,142.87,15.405,52.065,8.58,46.79,5.94,13.165,21.14,crown_aware_minus_development_oriented,development_oriented,crown_aware,-1.7349999999999852,0.33000000000000007,-0.375,0.1850000000000005,-0.125,0.09000000000000075,-0.245000000000001,0.5300000000000011,-1.1998201998547666,2.18905472636816,-0.7151029748283754
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,no_trade,No trade,29.455,10.875,0.0,15.6,21.9,2.715,0.435,15.565,crown_aware,Crown-aware,29.455,10.875,0.0,15.6,21.9,2.715,0.435,15.565,crown_aware_minus_development_oriented,development_oriented,crown_aware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,public_pool,Public pool,136.645,10.59,51.255,4.71,36.5,1.785,14.11,13.98,crown_aware,Crown-aware,136.335,10.735,51.095,4.585,36.375,1.83,14.065,14.03,crown_aware_minus_development_oriented,development_oriented,crown_aware,-0.3100000000000023,0.14499999999999957,-0.1600000000000037,-0.125,-0.125,0.04500000000000015,-0.04499999999999993,0.049999999999998934,-0.22686523473233727,1.3692162417374842,-0.3121646668617768
