build_mode,build_mode_label,population,population_label,condition,condition_label,final_total_score,final_score_gap,cumulative_trades_executed,final_idle_infrastructure,final_total_infrastructure,final_total_production_sites,final_total_advanced_sites,final_total_innovation
crown_aware,Crown-aware,need_based,Need-based,equity_weighted_central,Equity central,157.21,15.52,52.915,7.885,49.775,5.875,15.07,19.155
crown_aware,Crown-aware,need_based,Need-based,no_trade,No trade,29.455,10.875,0.0,15.6,21.9,2.715,0.435,15.565
crown_aware,Crown-aware,need_based,Need-based,public_pool,Public pool,146.06,10.54,49.89,5.135,39.915,1.75,15.64,11.325
crown_aware,Crown-aware,need_based,Need-based,subsidized_catch_up,Subsidized,79.775,16.195,16.28,12.1,36.7,7.345,4.955,16.725
crown_aware,Crown-aware,selfish,Selfish,bilateral_trade,Bilateral,97.275,27.0,24.87,12.355,40.285,6.945,7.02,26.655
crown_aware,Crown-aware,selfish,Selfish,bilateral_trade_3pass,Bilateral 3-pass,100.405,27.56,28.68,12.9,41.57,6.905,7.43,26.33
crown_aware,Crown-aware,selfish,Selfish,bottleneck_priority_bilateral_trade,Bottleneck,97.955,26.79,24.315,12.705,40.475,6.68,7.205,26.25
crown_aware,Crown-aware,selfish,Selfish,catch_up_bilateral_trade,Catch-up,97.155,27.775,24.21,12.94,40.57,6.695,7.12,26.32
crown_aware,Crown-aware,selfish,Selfish,central_clearing,Central clearing,143.635,18.3,51.295,8.65,46.85,5.73,13.37,20.315
crown_aware,Crown-aware,selfish,Selfish,central_clearing_capped,Central capped (2),118.765,22.26,35.235,9.18,42.25,6.69,9.845,23.95
crown_aware,Crown-aware,selfish,Selfish,clearinghouse_bargaining,Clearinghouse,98.65,28.225,26.25,12.465,40.555,6.765,7.28,26.02
crown_aware,Crown-aware,selfish,Selfish,equity_weighted_central,Equity central,139.365,15.345,51.61,8.985,46.885,6.375,12.575,21.49
crown_aware,Crown-aware,selfish,Selfish,no_trade,No trade,29.43,10.84,0.0,15.625,21.905,2.705,0.435,15.565
crown_aware,Crown-aware,selfish,Selfish,public_pool,Public pool,139.085,10.905,52.73,5.245,37.775,1.825,14.44,14.985
crown_aware,Crown-aware,selfish,Selfish,subsidized_catch_up,Subsidized,73.53,15.42,18.205,11.92,34.29,6.98,4.205,18.935
development_oriented,Development-oriented,competitive,Competitive,bilateral_trade,Bilateral,91.085,26.71,19.805,13.895,39.855,6.59,6.39,26.535
development_oriented,Development-oriented,competitive,Competitive,bilateral_trade_3pass,Bilateral 3-pass,97.565,27.42,21.235,12.67,40.76,6.975,7.07,25.905
development_oriented,Development-oriented,competitive,Competitive,bottleneck_priority_bilateral_trade,Bottleneck,92.005,26.235,19.59,14.05,40.2,6.56,6.515,26.485
development_oriented,Development-oriented,competitive,Competitive,catch_up_bilateral_trade,Catch-up,90.76,28.0,19.225,13.205,39.315,6.765,6.29,26.265
development_oriented,Development-oriented,competitive,Competitive,central_clearing,Central clearing,145.06,17.24,51.99,8.59,47.18,5.845,13.45,20.245
development_oriented,Development-oriented,competitive,Competitive,central_clearing_capped,Central capped (2),117.91,21.92,35.385,9.81,42.47,6.58,9.75,24.015
development_oriented,Development-oriented,competitive,Competitive,clearinghouse_bargaining,Clearinghouse,97.02,27.07,20.72,12.59,40.45,6.92,7.01,25.71
development_oriented,Development-oriented,competitive,Competitive,equity_weighted_central,Equity central,140.4,14.72,52.505,9.015,46.995,6.325,12.665,21.66
development_oriented,Development-oriented,competitive,Competitive,no_trade,No trade,29.36,10.785,0.0,15.635,21.895,2.705,0.425,15.595
development_oriented,Development-oriented,competitive,Competitive,public_pool,Public pool,29.36,10.785,0.0,15.635,21.895,2.705,0.425,15.595
development_oriented,Development-oriented,competitive,Competitive,subsidized_catch_up,Subsidized,73.285,15.405,18.23,12.195,34.495,6.975,4.175,18.855
development_oriented,Development-oriented,cooperative,Cooperative,bilateral_trade,Bilateral,115.58,28.545,42.43,12.58,43.92,5.975,9.695,23.455
development_oriented,Development-oriented,cooperative,Cooperative,bilateral_trade_3pass,Bilateral 3-pass,125.835,29.64,69.205,10.845,45.115,6.26,10.875,22.4
development_oriented,Development-oriented,cooperative,Cooperative,bottleneck_priority_bilateral_trade,Bottleneck,117.59,29.705,42.05,12.04,44.06,6.145,9.865,23.715
development_oriented,Development-oriented,cooperative,Cooperative,catch_up_bilateral_trade,Catch-up,114.045,30.33,42.24,12.455,43.405,5.945,9.53,23.48
development_oriented,Development-oriented,cooperative,Cooperative,central_clearing,Central clearing,145.06,17.24,51.99,8.59,47.18,5.845,13.45,20.245
development_oriented,Development-oriented,cooperative,Cooperative,central_clearing_capped,Central capped (2),117.91,21.92,35.385,9.81,42.47,6.58,9.75,24.015
development_oriented,Development-oriented,cooperative,Cooperative,clearinghouse_bargaining,Clearinghouse,116.115,27.605,42.41,11.715,43.265,6.035,9.74,23.13
development_oriented,Development-oriented,cooperative,Cooperative,equity_weighted_central,Equity central,140.4,14.72,52.505,9.015,46.995,6.325,12.665,21.66
development_oriented,Development-oriented,cooperative,Cooperative,no_trade,No trade,29.36,10.785,0.0,15.635,21.895,2.705,0.425,15.595
development_oriented,Development-oriented,cooperative,Cooperative,public_pool,Public pool,140.595,14.065,50.295,6.14,40.16,3.025,13.985,18.215
development_oriented,Development-oriented,cooperative,Cooperative,subsidized_catch_up,Subsidized,73.285,15.405,18.23,12.195,34.495,6.975,4.175,18.855
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,bilateral_trade,Bilateral,120.62,24.94,35.625,11.04,44.5,6.665,10.065,23.4
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,bilateral_trade_3pass,Bilateral 3-pass,127.415,24.7,48.86,10.85,45.47,6.225,11.085,22.275
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,bottleneck_priority_bilateral_trade,Bottleneck,116.765,24.73,35.125,11.1,43.63,6.695,9.57,23.53
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,catch_up_bilateral_trade,Catch-up,117.4,25.255,35.23,11.105,43.655,6.57,9.705,23.385
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,central_clearing,Central clearing,146.4,17.1,52.2,8.415,47.475,5.88,13.65,19.795
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,central_clearing_capped,Central capped (2),118.19,21.515,35.325,9.355,42.295,6.74,9.73,23.96
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,clearinghouse_bargaining,Clearinghouse,119.905,24.92,36.22,10.88,44.2,6.665,9.995,23.275
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,equity_weighted_central,Equity central,144.605,15.075,52.44,8.395,46.915,5.85,13.41,20.61
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,no_trade,No trade,29.455,10.875,0.0,15.6,21.9,2.715,0.435,15.565
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,public_pool,Public pool,136.645,10.59,51.255,4.71,36.5,1.785,14.11,13.98
development_oriented,Development-oriented,fairness_sensitive,Fairness-sensitive,subsidized_catch_up,Subsidized,74.265,15.665,18.19,12.48,35.01,6.945,4.32,18.605
development_oriented,Development-oriented,hoarding,Hoarding,bilateral_trade,Bilateral,90.08,27.76,14.44,13.685,39.115,6.275,6.44,25.125
development_oriented,Development-oriented,hoarding,Hoarding,bilateral_trade_3pass,Bilateral 3-pass,96.06,28.105,15.665,12.815,39.665,6.225,7.2,24.775
