q_state_key,action,training_state_visits,training_action_updates
"1,1,2,3,1,1,3",public_pool,177,0
"1,1,2,3,1,1,3",subsidized_catch_up,177,22
"1,1,2,3,1,1,3",central_cap2,177,0
"1,1,2,3,1,1,3",equity_cap2,177,0
"1,1,2,3,1,1,3",central_full,177,0
"1,1,2,3,1,2,0",bilateral_3pass,41,41
"1,1,2,3,1,2,0",clearinghouse,41,0
"1,1,2,3,1,2,0",public_pool,41,0
"1,1,2,3,1,2,0",subsidized_catch_up,41,0
"1,1,2,3,1,2,0",central_cap2,41,0
"1,1,2,3,1,2,0",equity_cap2,41,0
"1,1,2,3,1,2,0",central_full,41,0
"1,2,2,3,1,2,0",bilateral_3pass,140,12
"1,2,2,3,1,2,0",clearinghouse,140,106
"1,2,2,3,1,2,0",public_pool,140,2
"1,2,2,3,1,2,0",subsidized_catch_up,140,10
"1,2,2,3,1,2,0",central_cap2,140,5
"1,2,2,3,1,2,0",equity_cap2,140,5
"1,2,2,3,1,2,0",central_full,140,0
"2,2,1,1,1,2,0",bilateral_3pass,1695,141
"2,2,1,1,1,2,0",clearinghouse,1695,134
"2,2,1,1,1,2,0",public_pool,1695,35
"2,2,1,1,1,2,0",subsidized_catch_up,1695,1322
"2,2,1,1,1,2,0",central_cap2,1695,34
"2,2,1,1,1,2,0",equity_cap2,1695,29
"2,2,1,1,1,2,0",central_full,1695,0
"2,2,2,1,2,2,0",bilateral_3pass,276,205
"2,2,2,1,2,2,0",clearinghouse,276,27
"2,2,2,1,2,2,0",public_pool,276,4
"2,2,2,1,2,2,0",subsidized_catch_up,276,27
"2,2,2,1,2,2,0",central_cap2,276,6
"2,2,2,1,2,2,0",equity_cap2,276,7
"2,2,2,1,2,2,0",central_full,276,0
"2,2,1,1,2,1,3",bilateral_3pass,98,82
"2,2,1,1,2,1,3",clearinghouse,98,8
"2,2,1,1,2,1,3",public_pool,98,0
"2,2,1,1,2,1,3",subsidized_catch_up,98,7
"2,2,1,1,2,1,3",central_cap2,98,0
"2,2,1,1,2,1,3",equity_cap2,98,1
"2,2,1,1,2,1,3",central_full,98,0
"2,1,1,1,2,1,1",bilateral_3pass,196,185
"2,1,1,1,2,1,1",clearinghouse,196,11
"2,1,1,1,2,1,1",public_pool,196,0
"2,1,1,1,2,1,1",subsidized_catch_up,196,0
"2,1,1,1,2,1,1",central_cap2,196,0
"2,1,1,1,2,1,1",equity_cap2,196,0
"2,1,1,1,2,1,1",central_full,196,0
"2,1,1,1,2,1,0",bilateral_3pass,368,368
"2,1,1,1,2,1,0",clearinghouse,368,0
"2,1,1,1,2,1,0",public_pool,368,0
"2,1,1,1,2,1,0",subsidized_catch_up,368,0
"2,1,1,1,2,1,0",central_cap2,368,0
"2,1,1,1,2,1,0",equity_cap2,368,0
"2,1,1,1,2,1,0",central_full,368,0
"3,2,1,1,2,1,0",bilateral_3pass,2351,327
"3,2,1,1,2,1,0",clearinghouse,2351,1661
"3,2,1,1,2,1,0",public_pool,2351,59
"3,2,1,1,2,1,0",subsidized_catch_up,2351,212
