baseline_policy,scenario,metric,n_pairs,target_policy,mean_learned_minus_baseline,mean_target_minus_baseline,ci95_low,ci95_high,seed_clustered_ci95_low,seed_clustered_ci95_high,share_target_higher,share_learned_higher
frequency_informed_random,cooperative_to_hoarding,final_min_score,100,learned_q,-0.24,-0.24,-1.3605,0.81,-1.3605,0.81,0.37,0.37
frequency_informed_random,cooperative_to_hoarding,bottom_two_mean_score,100,learned_q,0.02,0.02,-0.980125,1.04,-0.980125,1.04,0.48,0.48
frequency_informed_random,cooperative_to_hoarding,final_score_gap,100,learned_q,-0.67,-0.67,-2.62025,1.17,-2.62025,1.17,0.48,0.48
frequency_informed_random,cooperative_to_hoarding,gini_score,100,learned_q,-0.005008131502314345,-0.005008131502314345,-0.022610622273991028,0.014368445932930634,-0.022610622273991028,0.014368445932930634,0.49,0.49
frequency_informed_random,cooperative_to_hoarding,final_welfare,100,learned_q,-0.08549999999999977,-0.08549999999999977,-1.0275249999999998,0.8785999999999999,-1.0275249999999998,0.8785999999999999,0.49,0.49
frequency_informed_random,cooperative_to_hoarding,cumulative_capacity_cost,100,learned_q,4.65,4.65,3.83975,5.49,3.83975,5.49,0.86,0.86
permanent_bilateral_3pass,ALL,final_total_score,600,learned_q,2.475,2.475,0.3911666666666667,4.491749999999999,0.04487500000000011,4.863375,0.54,0.54
permanent_bilateral_3pass,ALL,final_mean_score,600,learned_q,0.4950000000000001,0.4950000000000001,0.07992500000000012,0.9217416666666662,0.018991666666666695,0.9703333333333333,0.54,0.54
permanent_bilateral_3pass,ALL,final_min_score,600,learned_q,1.5733333333333333,1.5733333333333333,1.076625,2.08,0.9599583333333334,2.170041666666666,0.545,0.545
permanent_bilateral_3pass,ALL,bottom_two_mean_score,600,learned_q,1.2816666666666667,1.2816666666666667,0.8258333333333333,1.7326874999999988,0.7408333333333333,1.8100208333333332,0.5783333333333334,0.5783333333333334
permanent_bilateral_3pass,ALL,final_score_gap,600,learned_q,-2.6283333333333334,-2.6283333333333334,-3.5034583333333336,-1.715,-3.74675,-1.5232916666666674,0.3883333333333333,0.3883333333333333
permanent_bilateral_3pass,ALL,gini_score,600,learned_q,-0.029409427054139528,-0.029409427054139528,-0.037472613305873335,-0.02165046796796123,-0.03914435960345207,-0.019731490217640976,0.375,0.375
permanent_bilateral_3pass,ALL,final_welfare,600,learned_q,0.7645833333333335,0.7645833333333335,0.37458333333333343,1.1789374999999995,0.30323125000000006,1.2184291666666667,0.5783333333333334,0.5783333333333334
permanent_bilateral_3pass,ALL,cumulative_capacity_cost,600,learned_q,24.785,24.785,24.68166666666667,24.893333333333334,24.668333333333333,24.903333333333332,1.0,1.0
permanent_bilateral_3pass,need_based,final_total_score,100,learned_q,-2.81,-2.81,-8.25,2.650749999999996,-8.25,2.650749999999996,0.47,0.47
