policy_name,policy_label,scenario,scenario_label,n,mean_final_total_score,mean_final_mean_score,mean_final_min_score,mean_bottom_two_mean_score,mean_final_score_gap,mean_gini_score,mean_final_welfare,mean_cumulative_capacity_cost,sd_final_total_score,sd_final_mean_score,sd_final_min_score,sd_bottom_two_mean_score,sd_final_score_gap,sd_gini_score,sd_final_welfare,sd_cumulative_capacity_cost
random_feasible,Uniform random feasible,cooperative_to_hoarding,Cooperative → hoarding,100,104.06,20.811999999999998,9.45,11.94,26.21,0.24738145999724848,17.971500000000002,25.41,21.57712031787656,4.3154240635753105,4.103152274271403,4.2742357105207605,8.540213845405308,0.08137497267672736,4.0221687137185285,1.0356767172367365
random_feasible,Uniform random feasible,hoarding,Hoarding,100,101.64,20.328,9.69,12.005,24.47,0.23795188659318614,17.668499999999998,25.53,21.35156417992117,4.270312835984235,4.460137697743006,4.599898439809911,9.016768889803108,0.08543415865080281,4.010016845477099,0.9369518599580168
random_feasible,Uniform random feasible,mixed,Mixed,100,109.03,21.805999999999997,10.58,12.955,24.5,0.22358886830774552,18.9995,25.51,18.012596602478958,3.6025193204957904,4.013059489298216,4.1292838178653755,7.969005615825007,0.07496719198834666,3.3098986450349264,1.0777361233229368
random_feasible,Uniform random feasible,need_based,Need-based,100,134.03,26.805999999999997,15.22,18.355,24.32,0.18214143189712226,23.909499999999998,25.35,23.824465398307503,4.764893079661501,6.23379515385307,5.456112779870543,8.026320338848816,0.06320549018778102,4.834548932820764,1.1752927853573896
random_feasible,Uniform random feasible,need_based_to_competitive,Need-based → competitive,100,116.92,23.384,11.54,14.42,26.17,0.22124641665571196,20.423,25.41,24.217315785164626,4.843463157032923,5.388764967855611,5.084498127851089,8.989393300951512,0.0796474528878348,4.6294043729712,0.9959006887326571
shuffled_learned_sequence,Shuffled learned sequence,cooperative,Cooperative,100,121.37,24.274,12.57,15.51,25.68,0.2077832163482595,21.348000000000003,21.81,21.91657967490513,4.383315934981026,5.057757318309083,4.87985966017777,9.148472301676684,0.0765351467193088,4.1699981832711694,2.604173030295256
shuffled_learned_sequence,Shuffled learned sequence,cooperative_to_hoarding,Cooperative → hoarding,100,102.18,20.436,9.22,11.79,25.46,0.24778200180858995,17.632,21.67,22.73047169405737,4.546094338811474,4.23687515878284,4.35204584423269,8.67647463669503,0.08256894708105526,4.153971690813601,2.395513483260917
shuffled_learned_sequence,Shuffled learned sequence,hoarding,Hoarding,100,102.4,20.48,9.29,11.68,25.66,0.24972162549437285,17.6825,21.7,20.69353092689168,4.138706185378337,3.94736838561049,4.019221493540933,8.84800953476389,0.08277208585844598,3.7607514226050984,2.384715640672633
shuffled_learned_sequence,Shuffled learned sequence,mixed,Mixed,100,108.64,21.728,10.36,13.08,24.6,0.228064676204291,18.886,21.71,20.88134830586155,4.17626966117231,4.82108165071162,4.778804212035653,7.94297860320101,0.08099179419279726,4.026955137168488,2.230617978421353
shuffled_learned_sequence,Shuffled learned sequence,need_based,Need-based,100,134.53,26.906,15.01,18.26,24.03,0.17966925534298603,23.932,21.36,22.454647895730012,4.490929579146002,6.039424348780806,5.311261144916049,7.9206353688618085,0.06445851220057826,4.514933246707223,2.576192476653808
shuffled_learned_sequence,Shuffled learned sequence,need_based_to_competitive,Need-based → competitive,100,117.82,23.564,12.43,15.17,23.63,0.20215509475902493,20.780500000000004,21.31,24.17628021951527,4.835256043903053,5.547326228267838,5.053861410002766,8.377042943953938,0.0732474544542083,4.648551935926939,2.329845878632708
