episode,seed,scenario,scenario_label,change_round,epsilon,total_reward,mean_absolute_td_error,final_total_score,final_mean_score,final_min_score,bottom_two_mean_score,final_max_score,final_score_gap,final_welfare,final_coordination_capacity,cumulative_capacity_cost,cumulative_workload_units,rounds_bilateral_3pass,rounds_clearinghouse,rounds_public_pool,rounds_subsidized_catch_up,rounds_central_cap2,rounds_equity_cap2,rounds_central_full
,500053,hoarding,Hoarding,,0.0,18.450000000000003,,113,22.6,6,9.0,52,46,18.450000000000003,3,25,61,12,0,1,3,1,3,0
,500053,mixed,Mixed,,0.0,14.25,,85,17.0,6,7.5,31,25,14.25,3,25,75,11,2,1,5,1,0,0
,500053,need_based_to_competitive,Need-based → competitive,10.0,0.0,22.799999999999997,,132,26.4,12,14.5,43,31,22.799999999999997,4,24,120,13,1,1,3,0,0,2
,500053,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,9.95,,63,12.6,2,2.5,30,28,9.95,5,23,118,10,4,3,3,0,0,0
,500054,need_based,Need-based,,0.0,26.450000000000003,,153,30.6,14,17.5,50,36,26.450000000000003,3,25,123,11,3,1,5,0,0,0
,500054,cooperative,Cooperative,,0.0,22.85,,129,25.8,14,17.0,38,24,22.85,3,25,191,12,5,2,1,0,0,0
,500054,hoarding,Hoarding,,0.0,19.200000000000003,,113,22.6,9,12.5,39,30,19.200000000000003,2,26,82,10,4,1,3,1,1,0
,500054,mixed,Mixed,,0.0,16.950000000000003,,98,19.6,9,13.0,27,18,16.950000000000003,2,26,112,11,2,1,4,0,2,0
,500054,need_based_to_competitive,Need-based → competitive,10.0,0.0,21.65,,121,24.2,14,16.5,36,22,21.65,2,26,109,11,2,1,6,0,0,0
,500054,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,20.85,,124,24.8,9,16.0,32,23,20.85,2,26,142,12,4,1,2,0,0,1
,500055,need_based,Need-based,,0.0,26.950000000000003,,143,28.6,22,23.5,39,17,26.950000000000003,4,24,179,12,2,1,5,0,0,0
,500055,cooperative,Cooperative,,0.0,19.4,,106,21.2,14,15.5,31,17,19.4,2,26,150,12,3,1,3,1,0,0
,500055,hoarding,Hoarding,,0.0,15.299999999999999,,92,18.4,6,7.5,44,38,15.299999999999999,4,24,82,11,3,1,5,0,0,0
,500055,mixed,Mixed,,0.0,19.85,,114,22.8,11,14.0,41,30,19.85,3,25,98,10,3,2,5,0,0,0
,500055,need_based_to_competitive,Need-based → competitive,10.0,0.0,20.549999999999997,,122,24.4,9,13.0,39,30,20.549999999999997,5,23,112,12,1,1,6,0,0,0
,500055,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,12.600000000000001,,74,14.8,6,10.0,26,20,12.600000000000001,1,27,98,10,2,1,7,0,0,0
,500056,need_based,Need-based,,0.0,26.299999999999997,,152,30.4,14,20.5,47,33,26.299999999999997,4,24,171,12,4,1,3,0,0,0
,500056,cooperative,Cooperative,,0.0,22.25,,125,25.0,14,18.0,34,20,22.25,1,27,172,11,4,2,3,0,0,0
,500056,hoarding,Hoarding,,0.0,15.0,,90,18.0,6,8.0,33,27,15.0,3,25,71,11,3,1,4,1,0,0
,500056,mixed,Mixed,,0.0,12.899999999999999,,71,14.2,9,11.5,17,8,12.899999999999999,4,24,134,13,0,1,3,1,0,2
,500056,need_based_to_competitive,Need-based → competitive,10.0,0.0,22.4,,131,26.2,11,16.5,45,34,22.4,1,27,135,10,6,1,3,0,0,0
,500056,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,14.549999999999999,,87,17.4,6,7.5,34,28,14.549999999999999,2,26,92,10,2,4,4,0,0,0
,500057,need_based,Need-based,,0.0,20.1,,114,22.8,12,14.5,29,17,20.1,2,26,145,11,3,2,4,0,0,0
,500057,cooperative,Cooperative,,0.0,20.1,,119,23.8,9,10.5,38,29,20.1,3,25,197,12,4,1,2,1,0,0
,500057,hoarding,Hoarding,,0.0,20.6,,109,21.8,17,18.0,25,8,20.6,2,26,109,11,2,1,5,1,0,0
,500057,mixed,Mixed,,0.0,21.65,,126,25.2,11,16.5,38,27,21.65,5,23,123,12,3,1,3,1,0,0
,500057,need_based_to_competitive,Need-based → competitive,10.0,0.0,17.75,,100,20.0,11,12.0,39,28,17.75,3,25,106,12,3,1,3,0,0,1
,500057,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,19.65,,111,22.2,12,15.5,33,21,19.65,5,23,170,12,3,2,3,0,0,0
,500058,need_based,Need-based,,0.0,27.1,,144,28.8,22,22.0,39,17,27.1,3,25,157,12,4,1,2,0,0,1
,500058,cooperative,Cooperative,,0.0,24.65,,141,28.2,14,18.0,44,30,24.65,6,22,187,13,4,1,1,1,0,0
,500058,hoarding,Hoarding,,0.0,13.95,,78,15.6,9,11.5,22,13,13.95,2,26,58,11,2,1,5,0,0,1
,500058,mixed,Mixed,,0.0,21.049999999999997,,112,22.4,17,18.0,36,19,21.049999999999997,6,22,144,12,1,2,5,0,0,0
,500058,need_based_to_competitive,Need-based → competitive,10.0,0.0,21.049999999999997,,117,23.4,14,17.0,36,22,21.049999999999997,2,26,127,11,2,1,5,0,0,1
,500058,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,23.450000000000003,,133,26.6,14,15.5,46,32,23.450000000000003,5,22,156,12,5,1,2,0,0,0
,500059,need_based,Need-based,,0.0,23.0,,130,26.0,14,14.0,39,25,23.0,4,24,146,11,5,1,3,0,0,0
,500059,cooperative,Cooperative,,0.0,18.299999999999997,,112,22.4,6,10.0,42,36,18.299999999999997,3,25,212,12,5,2,1,0,0,0
,500059,hoarding,Hoarding,,0.0,21.299999999999997,,127,25.4,9,10.0,38,29,21.299999999999997,2,26,87,10,4,1,5,0,0,0
,500059,mixed,Mixed,,0.0,18.200000000000003,,98,19.6,14,14.0,39,25,18.200000000000003,3,25,113,11,2,1,6,0,0,0
,500059,need_based_to_competitive,Need-based → competitive,10.0,0.0,18.0,,110,22.0,6,13.0,34,28,18.0,6,22,110,12,2,1,5,0,0,0
,500059,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,14.850000000000001,,89,17.8,6,7.5,32,26,14.850000000000001,3,25,110,11,6,1,2,0,0,0
,500060,need_based,Need-based,,0.0,19.049999999999997,,107,21.4,12,15.0,30,18,19.049999999999997,5,23,94,12,3,0,3,1,0,1
,500060,cooperative,Cooperative,,0.0,11.55,,67,13.4,6,7.5,20,14,11.55,1,27,232,12,3,2,2,0,0,1
,500060,hoarding,Hoarding,,0.0,18.299999999999997,,107,21.4,9,14.5,31,22,18.299999999999997,2,26,50,11,2,0,5,0,1,1
,500060,mixed,Mixed,,0.0,17.1,,94,18.8,12,12.0,30,18,17.1,4,24,91,13,2,0,2,0,1,2
,500060,need_based_to_competitive,Need-based → competitive,10.0,0.0,21.4,,111,22.2,19,19.5,28,9,21.4,4,24,97,10,4,0,5,0,0,1
,500060,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,16.75,,90,18.0,13,15.0,22,9,16.75,3,25,130,11,3,0,5,0,0,1
,500061,need_based,Need-based,,0.0,18.950000000000003,,108,21.6,11,14.0,31,20,18.950000000000003,4,24,209,13,0,2,3,0,0,2
,500061,cooperative,Cooperative,,0.0,15.75,,95,19.0,6,8.5,31,25,15.75,4,24,144,12,3,1,3,0,0,1
,500061,hoarding,Hoarding,,0.0,13.850000000000001,,74,14.8,11,12.0,22,11,13.850000000000001,3,25,57,12,1,0,5,0,1,1
,500061,mixed,Mixed,,0.0,23.75,,130,26.0,17,17.5,38,21,23.75,5,23,112,12,1,1,5,0,0,1
,500061,need_based_to_competitive,Need-based → competitive,10.0,0.0,15.0,,95,19.0,3,8.5,32,29,15.0,4,24,90,12,1,1,4,0,0,2
,500061,cooperative_to_hoarding,Cooperative → hoarding,10.0,0.0,12.899999999999999,,81,16.2,3,4.5,31,28,12.899999999999999,2,26,96,11,2,1,5,0,0,1
,500062,need_based,Need-based,,0.0,30.700000000000003,,163,32.6,25,25.0,47,22,30.700000000000003,2,26,164,12,4,0,1,0,1,2
,500062,cooperative,Cooperative,,0.0,28.15,,156,31.2,19,20.5,44,25,28.15,5,23,199,13,2,0,3,0,0,2
,500062,hoarding,Hoarding,,0.0,18.299999999999997,,107,21.4,9,13.0,34,25,18.299999999999997,5,23,50,13,1,0,3,0,2,1
