branch_state_id,base_game_id,seed,scenario,round,continuation_policy,comparison,selection_best_action,selection_second_action,q_chosen_action,mean_difference,ci95_low,ci95_high,ci_excludes_zero,paired_eval_replications,q_equals_selection_best
6,2,700001,need_based,16,permanent_bilateral_3pass,selected_best_minus_bilateral,central_cap2,equity_cap2,bilateral_3pass,1.1000000000000014,1.1000000000000014,1.1000000000000014,1,20,0
6,2,700001,need_based,16,permanent_bilateral_3pass,q_chosen_minus_bilateral,central_cap2,equity_cap2,bilateral_3pass,0.0,0.0,0.0,0,20,0
6,2,700001,need_based,16,random_feasible,selected_best_minus_selected_second,central_cap2,equity_cap2,bilateral_3pass,0.0,0.0,0.0,0,20,0
6,2,700001,need_based,16,random_feasible,selected_best_minus_q_chosen,central_cap2,equity_cap2,bilateral_3pass,0.10500000000000113,-1.8000000000000007,2.1837500000000003,0,20,0
6,2,700001,need_based,16,random_feasible,selected_best_minus_bilateral,central_cap2,equity_cap2,bilateral_3pass,0.10500000000000113,-1.8000000000000007,2.1837500000000003,0,20,0
6,2,700001,need_based,16,random_feasible,q_chosen_minus_bilateral,central_cap2,equity_cap2,bilateral_3pass,0.0,0.0,0.0,0,20,0
7,3,700002,need_based,3,learned_q,selected_best_minus_selected_second,bilateral_3pass,clearinghouse,subsidized_catch_up,1.6000000000000014,1.6000000000000014,1.6000000000000014,1,20,0
7,3,700002,need_based,3,learned_q,selected_best_minus_q_chosen,bilateral_3pass,clearinghouse,subsidized_catch_up,10.65,10.649999999999999,10.649999999999999,1,20,0
7,3,700002,need_based,3,learned_q,selected_best_minus_bilateral,bilateral_3pass,clearinghouse,subsidized_catch_up,0.0,0.0,0.0,0,20,0
7,3,700002,need_based,3,learned_q,q_chosen_minus_bilateral,bilateral_3pass,clearinghouse,subsidized_catch_up,-10.65,-10.649999999999999,-10.649999999999999,1,20,0
